index,market_link,product_name,img_url,listing_upload_date,condition,description,market
0,https://www.carousell.sg/p/%F0%9F%94%A5instocks%F0%9F%94%A5-26-inch-single-speed-with-black-rim-wheel-bicycle-free-wheel-with-coaster-brake-bike-bicycle-road-bicycle-road-bike-1-3-days-delivery-%E2%98%8E%EF%B8%8Fwhatsapp-82998491%E2%98%8E%EF%B8%8F-%F0%9F%92%A5-goodmansg-goodman-good-%F0%9F%92%A5-1067389186/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=0,🔥INSTOCKS🔥 26 inch single speed with Black Rim Wheel Bicycle Free Wheel with coaster brake | bike / Bicycle | Road Bicycle / Road Bike [1-3 Days Delivery] .☎️WhatsApp 82998491☎️.💥 Goodmansg / Goodman / Good 💥,https://media.karousell.com/media/photos/products/2022/9/29/_instocks_black_rim_wheel_bicy_1664420866_8b3b0afa_progressive_thumbnail,2023-10-13 11:17:09.026519,Brand new,visit you at our official webpage brand new instocks now whole bicycle free assembly of bike come with free maintenance tool self collection or viewing at yishun interested please message you can pay when meetup for same day delivery to doorstep at specification frame high carbon steel frame wheel coaster brake system pedal backwards to brake weight approximately kg measurement x cm add on bottle holder two lead light bell at lock universal bike phone holder all above for add on backrack add on front and back handbrakes at add on helmet,carousell
1,https://www.carousell.sg/p/%F0%9F%94%A5instocks%F0%9F%94%A5-26-inch-21-speeds-mountain-bike-mtb-allmove-bike-bicycle-mountain-bike-mountain-bicycle-mtb-allmove-1-3-days-delivery-%E2%98%8E%EF%B8%8Fwhatsapp-82998491%E2%98%8E%EF%B8%8F%F0%9F%92%A5-goodmansg-goodman-good-%F0%9F%92%A5-1067390110/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=1,🔥INSTOCKS🔥 26 inch 21 Speeds Mountain Bike MTB (ALLMOVE ) | Bike / Bicycle | Mountain Bike / Mountain Bicycle / MTB ( ALLMOVE ) [1-3 Days Delivery].☎️WhatsApp 82998491☎️💥 Goodmansg / Goodman / Good 💥,https://media.karousell.com/media/photos/products/2022/9/29/_instocks_26_inch_21_speeds_mo_1664426667_f3231ba0_progressive_thumbnail,2023-10-13 11:17:09.026625,Brand new,visit you at our official webpage mountain bike road race speed bike great for delivery rider or cyclist who be look for a simple and light bicycle whole bicycle come with free maintenance tool bicycle be fully assemble ready to ride free delivery to doorstep till end of the month for self collectionviewing at sembawang do whatsapp to book an appointment wheel high carbon steel speed gear disc brake come with mudguard weight around kg measurement length x cmheight seat adjustable max load kg add on accessory front frame bag bottle holder two lead light bell at lock universal bike phone holder pump all acc above for save add on back rack add on helmet,carousell
8,https://www.carousell.sg/p/fixie-bicycle-1259739099/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=8,Fixie bicycle,https://media.karousell.com/media/photos/products/2023/10/12/fixie_bicycle_1697119201_3792ad13_progressive_thumbnail.jpg,2023-10-13 10:11:09.026628,Like new,bought for my son but not to his like slight scratch a see on photo ride once receipt a stated welcome to view,carousell
9,https://www.carousell.sg/p/foldable-bike-folding-bicycle-dahon-rifle-fnhon-crius-hito-java-tern-shimano-litepro-1128149473/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=9,Foldable bike folding bicycle Dahon rifle fnhon crius hito java tern shimano litepro,https://media.karousell.com/media/photos/products/2021/11/27/foldable_bike_folding_bicycle__1637993164_c99dfc8e_progressive_thumbnail.jpg,2023-10-13 10:11:09.026631,Brand new,ready stock price start from brand dahon hito java rifle fnhon sixty pike view and self collection available free delivery shop gcycle contact number address kapo factory building block a,carousell
10,https://www.carousell.sg/p/fnhon-foldable-bicycle-1248570564/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=10,Fnhon foldable bicycle,https://media.karousell.com/media/photos/products/2023/8/12/fnhon_foldable_bicycle_1691832316_c7087230_progressive_thumbnail.jpg,2023-10-13 10:11:09.026632,Like new,sell fnhon foldable bicycle be on the road less then time disc brake and shimano gear each,carousell
11,https://www.carousell.sg/p/canyon-neuron-7-size-l-2022-mountain-bicycle-for-sale-1259732832/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=11,Canyon Neuron 7 Size L (2022) Mountain Bicycle For Sale,https://media.karousell.com/media/photos/products/2023/10/12/canyon_neuron_7_size_l_2022_mo_1697117051_a823c2e9_progressive_thumbnail.jpg,2023-10-13 09:11:09.026634,Lightly used,canyon neuron mountain bike colour dark grove mint condition and minimum usage year size l be to trail only twice and mostly use for park connector cycle sell due to relocation overseas modification include handle grip pedal check the model mud guard fidlock magnetic holder with bottle include free bike stand fox helmet if you want an additional top up view at woodland reach out for postal code and viewing location,carousell
13,https://www.carousell.sg/p/wts-wtt-leader-721-fb-full-bike-bicycle-fixie-fixed-gear-aero-black-weapon-ws-wheelset-medium-size-small-s-m-l-large-frame-frameset-set-tags-not-engine-11-e11-cinelli-tsunami-mash-skream-shukaku-cranston-ltt-lts-fs-1259731085/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=13,WTS WTT Leader 721 FB full bike bicycle fixie fixed gear aero black weapon ws wheelset medium size small s m L large frame frameset set tags: not engine 11 e11 cinelli tsunami mash skream shukaku cranston LTT LTS fs,https://media.karousell.com/media/photos/products/2023/10/12/leader_721_fb_full_bike_bicycl_1697116440_fab1f1bd_progressive_thumbnail.jpg,2023-10-13 09:11:09.026636,Like new,fast deal can nego anything do dm me sell full bike repaint the frame to black size size m weapon crankset with high speed gear ratio weapon bottom bracket weapon a wheelset drop bar with reflective bar grip front rim weapen soldier rear rim weapen a,carousell
14,https://www.carousell.sg/p/local-immediate-stock-14-16-foldable-bicycle-from-88-suitable-for-children-kids-boys-girls-1258970931/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=14,"LOCAL IMMEDIATE STOCK! 14""/16"" FOLDABLE BICYCLE FROM $88!!! SUITABLE FOR CHILDREN, KIDS, BOYS & GIRLS!",https://media.karousell.com/media/photos/products/2023/10/8/local_immediate_stock_1618_fol_1696751842_ef07e31d_progressive_thumbnail,2023-10-13 09:11:09.026638,Brand new,local company local stock selfassembled if full assemble by you chargeble available color pink light green white available size inch no assemble inch no assemble childrens foldable bicycle be suitable for travel in transport easy installation solid body frame the assist wheel have blink light for safety package include protective kit a show front basket bicycle bell air pump tool size inch suitable for height cm inch suitable for height cm inch suitable for height cm dear customer if you have any question please text me i will reply to you as soon a possible thank you very much,carousell
15,https://www.carousell.sg/p/ready-stocks-%E2%80%A2-fnhon-crius-velocity-gust-dahon-master-d-tornado-blast-monsoon-zephyr-%E2%80%A2-18%E2%80%9D-20%E2%80%9D-22%E2%80%9C-tyre-%E2%80%A2-shimano-litepro-schwalbe-chainring-wheelset-schwalbe-continental-panaracer-%E2%80%A2-folding-foldable-foldie-fold-bicycle-bike-%E2%80%A2-customise-my-bicycle-1242687605/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=15,Ready Stocks • Fnhon Crius Velocity Gust Dahon Master D Tornado Blast Monsoon Zephyr • 18” 20” 22“ tyre • Shimano Litepro Schwalbe Chainring Wheelset Schwalbe Continental Panaracer • Folding Foldable Foldie Fold Bicycle Bike • Customise My Bicycle,https://media.karousell.com/media/photos/products/2023/10/11/ready_stocks__fnhon_crius_velo_1697011095_7a8f29c5_progressive_thumbnail.jpg,2023-10-13 09:11:09.026639,Brand new,current ready stock fnhon gust matte black fnhon gust oil slick fnhon gust postal green fnhon gust rise gold fnhon tornado hulk green fnhon monsoon black gear fnhon gust blue freebie worth bell bottle cage multitools usb charge front back light chain lubricant kick stand disc brake clean aluminium air pump cap magnet to prevent wheel open up antidust crank cap protection sticker aluminium wire cap antidust cover tuning of gear shift check no loose stem check no disc rub check no drop chain check no loose lock pump tyre at correct psi bike be safe and ready to ride self collection at telok blangah payment in cashpaynowcredit card,carousell
16,https://www.carousell.sg/p/java-sava-merida-trinx-giant-road-bike-hybrid-bicycle-mountain-bike-shimano-1128144469/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=16,Java sava Merida trinx giant road bike hybrid bicycle mountain bike shimano,https://media.karousell.com/media/photos/products/2021/11/27/java_sava_merida_trinx_giant_r_1637991690_47ccf884_progressive_thumbnail.jpg,2023-10-13 09:11:09.026641,Brand new,ready stock road bike hybrid bike mountain bike foldable bike available brand java giant raleigh merida trinx bicycle range from ready stock view test ride self collection available free delivery shop name gcycle contact no address playfair road block a singapore,carousell
17,https://www.carousell.sg/p/trinx-m500-elite-new-mountain-bike-24-speed-aluminium-frame-bicycle-1222328659/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=17,TRINX M500 ELITE New Mountain Bike 24 Speed Aluminium Frame Bicycle,https://media.karousell.com/media/photos/products/2023/3/23/trinx_m500_elite_new_mountain__1679571079_93ecb842_progressive_thumbnail.jpg,2023-10-13 09:11:09.026643,Brand new,new stock available trinx m elite mountain bike speed gear use shimano ef trigger shifter x shimano ty rear derailleur aluminium alloy bodyframe front lockout suspension fork front and rear mechanical disc brake double wall rim tyre frame size m colour blackorange matte blackgreen matte blueorange ready stock available get it store collection free delivery imm building jurong east street s warehouse area view collection hour monsat pmpm close on sunday direction access by bldg cargo lift at both end of imm load bay load bay be exit beside l burger king refer to last product image for direction bicycle be assemble ready to cycle bicycle issue after purchase can be service at our physical store,carousell
20,https://www.carousell.sg/p/fnhon-blast-oil-slick-shimano-tiagra-folding-bicycle-10-speed-1216102213/?t-id=DDoGcS1NbR_1697126022676&t-referrer_browse_type=search_results&t-referrer_filter_category=247&t-referrer_page_type=search&t-referrer_request_id=KhQRQKXy0tF1g-Vf&t-referrer_sort_by=&t-tap_index=20,Fnhon Blast Oil Slick Shimano Tiagra Folding Bicycle 10 Speed,https://media.karousell.com/media/photos/products/2023/10/4/fnhon_blast_oil_slick_shimano__1696384417_13ac7dac_progressive_thumbnail.jpg,2023-10-13 09:11:09.026644,Brand new,fnhon blast oil slick folding bicycle speed shimano tiagra shifter rd full litepro part litepro aero wheelset and hollowtech crankset litepro hydraulic disc brake available in inch and wheel set est weight kg easily managable clearance now only at up all our listing in carousell be go on clearance sale now even some be sell at cost price guarantee cheap in the market for bicycle test ride be available no obligation check out outdoorfollowss listing on carousell for any enquiry for fast reply can call or wa link below address building nordcom tower lift lobby beside mindchamps gambas cres singapore opening hour mon fri after pm base on appointment only sit pm to pm sun pm to pm,carousell
